2020-05-01,2020-05-31
Стартовый Домен Входа,Уникальные пользователи совершившие цель: 1-ый автодоскрол
m.vostokmedia.com,143420.0
vostokmedia.com,51823.0
amp.vostokmedia.com,22.0
totals,195177.0
